The 2500 is for the radiant dye and the 3098 is for Thorlabs black.
x_peak: 2497, y_peak: 2049, x0: 2497.0, y0: 2049.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3095, y_peak: 1965, x0: 3095.0, y0: 1965.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3094, y_peak: 1976, x0: 3094.0, y0: 1976.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2489, y_peak: 2042, x0: 2489.0, y0: 2042.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3095, y_peak: 2007, x0: 3095.0, y0: 2007.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2494, y_peak: 2027, x0: 2494.0, y0: 2027.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2493, y_peak: 2049, x0: 2493.0, y0: 2049.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3089, y_peak: 1971, x0: 3089.0, y0: 1971.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2491, y_peak: 2045, x0: 2491.0, y0: 2045.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3095, y_peak: 1962, x0: 3095.0, y0: 1962.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2498, y_peak: 2037, x0: 2498.0, y0: 2037.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3092, y_peak: 1967, x0: 3092.0, y0: 1967.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3100, y_peak: 1994, x0: 3100.0, y0: 1994.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2508, y_peak: 2033, x0: 2508.0, y0: 2033.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3103, y_peak: 1994, x0: 3103.0, y0: 1994.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2506, y_peak: 2044, x0: 2506.0, y0: 2044.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3094, y_peak: 1984, x0: 3094.0, y0: 1984.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2497, y_peak: 2040, x0: 2497.0, y0: 2040.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2500, y_peak: 2054, x0: 2500.0, y0: 2054.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3097, y_peak: 1959, x0: 3097.0, y0: 1959.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3092, y_peak: 1979, x0: 3092.0, y0: 1979.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2501, y_peak: 2040, x0: 2501.0, y0: 2040.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2502, y_peak: 2035, x0: 2502.0, y0: 2035.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3106, y_peak: 1966, x0: 3106.0, y0: 1966.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2501, y_peak: 2043, x0: 2501.0, y0: 2043.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3104, y_peak: 1965, x0: 3104.0, y0: 1965.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2493, y_peak: 2033, x0: 2493.0, y0: 2033.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3092, y_peak: 1969, x0: 3092.0, y0: 1969.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3106, y_peak: 1998, x0: 3106.0, y0: 1998.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2511, y_peak: 2044, x0: 2511.0, y0: 2044.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3095, y_peak: 1988, x0: 3095.0, y0: 1988.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2492, y_peak: 2044, x0: 2492.0, y0: 2044.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3099, y_peak: 1987, x0: 3099.0, y0: 1987.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2505, y_peak: 2039, x0: 2505.0, y0: 2039.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2497, y_peak: 2048, x0: 2497.0, y0: 2048.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3094, y_peak: 2001, x0: 3094.0, y0: 2001.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3099, y_peak: 1993, x0: 3099.0, y0: 1993.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2501, y_peak: 2034, x0: 2501.0, y0: 2034.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3113, y_peak: 1994, x0: 3113.0, y0: 1994.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2490, y_peak: 2040, x0: 2490.0, y0: 2040.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3099, y_peak: 1972, x0: 3099.0, y0: 1972.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2497, y_peak: 2042, x0: 2497.0, y0: 2042.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2497, y_peak: 2039, x0: 2497.0, y0: 2039.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3104, y_peak: 1962, x0: 3104.0, y0: 1962.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2502, y_peak: 2043, x0: 2502.0, y0: 2043.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3092, y_peak: 1964, x0: 3092.0, y0: 1964.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2505, y_peak: 2055, x0: 2505.0, y0: 2055.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3092, y_peak: 1964, x0: 3092.0, y0: 1964.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2506, y_peak: 2039, x0: 2506.0, y0: 2039.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
